// NAME, DURATION, {STR, DEF, SPD}, {HR, EV, CR, CRRE, DBRE}, HP PER TURN
Hasted;2;0,0,4;-;0
Recovering;3;0,0,0;-;2
Healed;1;0,0,0;-;2
Draining;3;-;-;1
Blessed;2;1,1,1;0.05,0.05,0.05,0.05,0.05;0
Focused;2;-;0.3,0,0.2,0,0;0
Empowered;2;2,0,0;-;0
Evasive;1;-;0,0.4,0,0.4,0.1;0
Protected;1;0,3,0;0,0,0,0.5,0.5;0;
Lucky;2;-;0.05,0.05,0.05,0.4,0.5;0
Raging;3;1,1,0;0,0,0.2,0,0;0
;
Taunted;2;-;-0.1,-0.1,0.1,-0.05,-0.1;0
Poisoned;3;0,-1,0;-;-1
Burning;2;-1,0,0;-;-1
Marked;2;-;0,-0.4,0,-0.1,-0.1;0
Cursed;2;-1,-1,-1;-0.05,-0.05,-0.05,-0.05,-0.05;0
Blinded;2;-;-0.55,-0.45,0,0,0;0
Revealed;2;-;-0.3,-0.4,-0.4,-0.1,-0.2;0
Rotting;3;-2,-2,-1;-;-1
Drained;3;-;-;-1
Charmed;2;-;0,-0.1,-0.1,-0.05,-0.05;0
Slowed;2;0,0,-2;-;0
Freezing;2;0,0,-1;-;-1
Exposed;2;0,-2,0;-;0
Confused;2;-;-0.5,0,0,-0.1,-0.15;0
Enfeebled;3;-2,0,0;0,0,0,0,-0.2;0
Frightened;2;0,0,-2;-0.1,0,0,0,0;0
